"TIME","RBD","UNIT","WW_TPAR","WW_TP","Value","Flag and Footnotes"
"2000","South Eastern Ireland - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","South Eastern Ireland - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Croatia","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Croatia","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Croatia","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Cyprus","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","1",""
"2000","Cyprus","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","98",""
"2000","Cyprus","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","51",""
"2000","Cyprus - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","1",""
"2000","Cyprus - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","98",""
"2000","Cyprus - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","51",""
"2000","Latvia","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","564",""
"2000","Latvia","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","709",""
"2000","Latvia","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","12",""
"2000","Daugava - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","202",""
"2000","Daugava - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","288",""
"2000","Daugava - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","5",""
"2000","Gauja (Koiva) - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","107",""
"2000","Gauja (Koiva) - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","126",""
"2000","Gauja (Koiva) - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","1",""
"2000","Lielupe - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","72",""
"2000","Lielupe - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","124",""
"2000","Lielupe - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","3",""
"2000","Venta - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment","183",""
"2000","Venta - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment","171",""
"2000","Venta - RBD (LV)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment","3",""
"2000","Lithuania","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Lithuania","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Lithuania","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Nemunas - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Nemunas - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Nemunas - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Baltic Sea coastal waters","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Baltic Sea coastal waters","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Baltic Sea coastal waters","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Venta - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Venta - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Venta - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Lielupe - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Lielupe - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Lielupe - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Daugava - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Daugava - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Daugava - RBD (LT)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Luxembourg","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Luxembourg","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Luxembourg","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Moselle - RBD (LU)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Moselle - RBD (LU)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
