TIME,GEO,WW_TPAR,WW_TP,UNIT,Value,Flag and Footnotes
2000,Saarland,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Saarland,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Saarland,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Dresden,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Dresden,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Dresden,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Chemnitz,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Chemnitz,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Chemnitz,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Leipzig,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Leipzig,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Leipzig,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Sachsen-Anhalt,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Sachsen-Anhalt,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Sachsen-Anhalt,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Schleswig-Holstein,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Schleswig-Holstein,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Schleswig-Holstein,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Th�ringen,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Th�ringen,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Th�ringen,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Estonia,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,156,
2000,Estonia,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,502,
2000,Estonia,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,52,
2000,Ireland,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Ireland,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Ireland,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,"Border, Midland and Western (NUTS 2013)",Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,"Border, Midland and Western (NUTS 2013)",Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,"Border, Midland and Western (NUTS 2013)",Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Southern and Eastern (NUTS 2013),Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Southern and Eastern (NUTS 2013),Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Southern and Eastern (NUTS 2013),Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Croatia,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Croatia,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Croatia,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Jadranska Hrvatska,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Jadranska Hrvatska,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Jadranska Hrvatska,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Kontinentalna Hrvatska,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Kontinentalna Hrvatska,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Kontinentalna Hrvatska,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Italy,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Italy,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Italy,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Piemonte,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Piemonte,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Piemonte,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Valle d'Aosta/Vall�e d'Aoste,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
