"TIME","GEO","WW_TPAR","WW_TP","UNIT","Value","Flag and Footnotes"
"2010","Germany (until 1990 former territory of the FRG)","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","2,307",""
"2010","Stuttgart","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","120",""
"2010","Karlsruhe","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","82",""
"2010","Freiburg","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","97",""
"2010","Tübingen","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","54",""
"2010","Oberbayern","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","106",""
"2010","Niederbayern","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","42",""
"2010","Oberpfalz","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","55",""
"2010","Oberfranken","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","50",""
"2010","Mittelfranken","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","81",""
"2010","Unterfranken","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","49",""
"2010","Schwaben","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","70",""
"2010","Berlin","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","30",""
"2010","Brandenburg","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","43",""
"2010","Bremen","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","26",""
"2010","Hamburg","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","42",""
"2010","Darmstadt","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","61",""
"2010","Gießen","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","33",""
"2010","Kassel","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","28",""
"2010","Mecklenburg-Vorpommern","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","27",""
"2010","Braunschweig","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","37",""
"2010","Hannover","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","42",""
"2010","Lüneburg","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","25",""
"2010","Weser-Ems","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","54",""
"2010","Düsseldorf","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","130",""
"2010","Köln","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","108",""
"2010","Münster","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","50",""
"2010","Detmold","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","64",""
"2010","Arnsberg","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","169",""
"2010","Koblenz","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","58",""
"2010","Trier","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","18",""
"2010","Rheinhessen-Pfalz","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","41",""
"2010","Saarland","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","36",""
"2010","Dresden","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","48",""
