"TIME","RBD","WAT_SRC","WAT_PROC","UNIT","Value","Flag and Footnotes"
"2011","Danube - RBD (HU)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Balaton","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Dráva / Drau (HU)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Danube (HU)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Tisza / Tysa (HU)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Malta","Fresh surface water","Total gross abstraction","Million cubic metres","0",""
"2011","Malta - RBD","Fresh surface water","Total gross abstraction","Million cubic metres","0",""
"2011","Netherlands","Fresh surface water","Total gross abstraction","Million cubic metres","9,193.3",""
"2011","Ems - RBD (NL)","Fresh surface water","Total gross abstraction","Million cubic metres","25.96",""
"2011","Maas / Meuse - RBD (NL)","Fresh surface water","Total gross abstraction","Million cubic metres","3,131.46",""
"2011","Rhine - RBD (NL)","Fresh surface water","Total gross abstraction","Million cubic metres","5,530.29",""
"2011","Schelde / Escaut - RBD (NL)","Fresh surface water","Total gross abstraction","Million cubic metres","505.6",""
"2011","Austria","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Danube - RBD (AT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Danube upstream Jochenstein (AT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Danube downstream Jochenstein (AT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","March / Morava (AT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Leitha, Raab, Rabnitz","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Mur","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Drau / Dráva (AT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Rhine - RBD (AT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Elbe / Labe - RBD (AT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Poland","Fresh surface water","Total gross abstraction","Million cubic metres","9,178.215",""
"2011","Danube - RBD (PL)","Fresh surface water","Total gross abstraction","Million cubic metres","0.299",""
"2011","Vistula / Wisla - RBD (PL)","Fresh surface water","Total gross abstraction","Million cubic metres","5,437.76",""
"2011","Little Vistula","Fresh surface water","Total gross abstraction","Million cubic metres","178.941",""
"2011","Upper Vistula","Fresh surface water","Total gross abstraction","Million cubic metres","2,133.088",""
"2011","Middle Vistula without Bug and Narew","Fresh surface water","Total gross abstraction","Million cubic metres","2,246.358",""
"2011","Bug and Narew","Fresh surface water","Total gross abstraction","Million cubic metres","710.346",""
"2011","Lower Vistula","Fresh surface water","Total gross abstraction","Million cubic metres","169.027",""
"2011","Swieza - RBD","Fresh surface water","Total gross abstraction","Million cubic metres","1.863",""
"2011","Jarft - RBD","Fresh surface water","Total gross abstraction","Million cubic metres","0",""
"2011","Labe / Elbe - RBD (PL)","Fresh surface water","Total gross abstraction","Million cubic metres","0.458",""
"2011","Odra / Oder - RBD (PL)","Fresh surface water","Total gross abstraction","Million cubic metres","3,720.126",""
"2011","Upper Oder","Fresh surface water","Total gross abstraction","Million cubic metres","35.925",""
"2011","Middle Oder","Fresh surface water","Total gross abstraction","Million cubic metres","448.706",""
"2011","Warta","Fresh surface water","Total gross abstraction","Million cubic metres","1,813.69",""
"2011","Lower Oder and Western Coast","Fresh surface water","Total gross abstraction","Million cubic metres","1,421.805",""
"2011","Pregolya / Prieglius - RBD (PL)","Fresh surface water","Total gross abstraction","Million cubic metres","16.288",""
"2011","Nemunas - RBD (PL)","Fresh surface water","Total gross abstraction","Million cubic metres","0.006",""
"2011","Dniester - RBD (PL)","Fresh surface water","Total gross abstraction","Million cubic metres","1.415",""
"2011","Portugal","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Minho and Lima - RBD (PT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Cavado, Ave and Leca - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Douro - RBD (PT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Vouga, Mondego and Lis - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Tagus and Western Basins - RBD (PT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Sado and Mira - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Guadiana - RBD (PT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Algarve Basins - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Azores - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Madeira - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Romania","Fresh surface water","Total gross abstraction","Million cubic metres","3,128.78",""
"2011","Danube - RBD (RO)","Fresh surface water","Total gross abstraction","Million cubic metres","3,128.78",""
"2011","Banat","Fresh surface water","Total gross abstraction","Million cubic metres","91.48",""
"2011","Siret","Fresh surface water","Total gross abstraction","Million cubic metres","126.37",""
"2011","Prut-Barlad","Fresh surface water","Total gross abstraction","Million cubic metres","215.27",""
"2011","Jiu","Fresh surface water","Total gross abstraction","Million cubic metres","769.83",""
"2011","Olt","Fresh surface water","Total gross abstraction","Million cubic metres","245.85",""
"2011","Arges-Vedea","Fresh surface water","Total gross abstraction","Million cubic metres","401.77",""
"2011","Ialomita-Buzau","Fresh surface water","Total gross abstraction","Million cubic metres","144.09",""
"2011","Dobrogea","Fresh surface water","Total gross abstraction","Million cubic metres","22.34",""
"2011","Mures","Fresh surface water","Total gross abstraction","Million cubic metres","657.84",""
"2011","Crisuri","Fresh surface water","Total gross abstraction","Million cubic metres","64.76",""
"2011","Somes-Tisa (RO)","Fresh surface water","Total gross abstraction","Million cubic metres","124.41",""
"2011","Slovenia","Fresh surface water","Total gross abstraction","Million cubic metres","171.97",""
"2011","Danube - RBD (SI)","Fresh surface water","Total gross abstraction","Million cubic metres","149.99",""
"2011","North Adriatic - RBD","Fresh surface water","Total gross abstraction","Million cubic metres","21.98",""
"2011","Slovakia","Fresh surface water","Total gross abstraction","Million cubic metres","258.67",""
"2011","Dunajec and Poprad (Vistula) - RBD (SK)","Fresh surface water","Total gross abstraction","Million cubic metres","2.43",""
"2011","Danube - RBD (SK)","Fresh surface water","Total gross abstraction","Million cubic metres","256.24",""
"2011","Bodrog","Fresh surface water","Total gross abstraction","Million cubic metres","30.83",""
"2011","Morava/March (SK)","Fresh surface water","Total gross abstraction","Million cubic metres","1.25",""
"2011","Danube (SK)","Fresh surface water","Total gross abstraction","Million cubic metres","35.37",""
"2011","Vah","Fresh surface water","Total gross abstraction","Million cubic metres","89.55",""
"2011","Hron","Fresh surface water","Total gross abstraction","Million cubic metres","57.17",""
"2011","Ipel","Fresh surface water","Total gross abstraction","Million cubic metres","3.66",""
"2011","Slana","Fresh surface water","Total gross abstraction","Million cubic metres","4.84",""
"2011","Hornád","Fresh surface water","Total gross abstraction","Million cubic metres","26.81",""
"2011","Bodva","Fresh surface water","Total gross abstraction","Million cubic metres","2.69",""
"2011","Sweden","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Bothnian Bay - RBD (SE)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Bothnian Sea - RBD (SE)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","North Baltic Sea - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","South Baltic Sea - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Skagerrak and Kattegat - RBD (SE)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Iceland","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Rhine - RBD (CH)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Rhône - RBD (CH)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Po - RBD (CH)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Danube - RBD (CH)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Former Yugoslav Republic of Macedonia, the","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Albania","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Serbia","Fresh surface water","Total gross abstraction","Million cubic metres","3,730.38",""
"2011","Turkey","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Bosnia and Herzegovina","Fresh surface water","Total gross abstraction","Million cubic metres","182.1",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Fresh surface water","Total gross abstraction","Million cubic metres","30.7",""
"2012","Scheldt/Escaut - RBD (BE-Brussels)","Fresh surface water","Total gross abstraction","Million cubic metres","0.31",""
"2012","Schelde/Escaut - RBD (BE-Flemish region)","Fresh surface water","Total gross abstraction","Million cubic metres","2,525.54",""
"2012","Maas/Meuse - RBD (BE-Flemish region)","Fresh surface water","Total gross abstraction","Million cubic metres","23.21",""
"2012","Bulgaria","Fresh surface water","Total gross abstraction","Million cubic metres","5,149.44",""
"2012","Danube - RBD (BG)","Fresh surface water","Total gross abstraction","Million cubic metres","2,841.78",""
"2012","Black Sea - RBD","Fresh surface water","Total gross abstraction","Million cubic metres","447.21",""
"2012","East Aegean - RBD (BG)","Fresh surface water","Total gross abstraction","Million cubic metres","1,779.67",""
"2012","West Aegean - RBD (BG)","Fresh surface water","Total gross abstraction","Million cubic metres","80.78",""
