"TIME","RBD","WAT_PROC","NACE_R2","UNIT","Value","Flag and Footnotes"
"2000","Leine","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Leine","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Leine","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Leine","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Tide-Weser","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Tide-Weser","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Tide-Weser","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Tide-Weser","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Tide-Weser","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Elbe / Labe - RBD (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Elbe / Labe - RBD (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Elbe / Labe - RBD (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Elbe / Labe - RBD (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Elbe / Labe - RBD (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Mulde-Elbe-Schwarze Elster","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Mulde-Elbe-Schwarze Elster","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Mulde-Elbe-Schwarze Elster","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Mulde-Elbe-Schwarze Elster","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Mulde-Elbe-Schwarze Elster","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Mittelelbe-Elde","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Mittelelbe-Elde","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Mittelelbe-Elde","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Mittelelbe-Elde","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Mittelelbe-Elde","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Havel","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Havel","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Havel","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Havel","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Havel","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Tide-Elbe","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Tide-Elbe","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Tide-Elbe","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Tide-Elbe","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Tide-Elbe","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Oder / Odra - RBD (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Oder / Odra - RBD (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Oder / Odra - RBD (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Oder / Odra - RBD (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Oder / Odra - RBD (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Maas / Meuse - RBD (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Maas / Meuse - RBD (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Maas / Meuse - RBD (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Maas / Meuse - RBD (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Maas / Meuse - RBD (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Eider - RBD","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Eider - RBD","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Eider - RBD","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Eider - RBD","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Eider - RBD","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Schlei-Trave - RBD","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Schlei-Trave - RBD","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Schlei-Trave - RBD","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Schlei-Trave - RBD","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Schlei-Trave - RBD","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Warnow-Peene - RBD","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
