"TIME","RBD","WW_TPAR","WW_TP","UNIT","Value","Flag and Footnotes"
"2000","Morava / March (CZ)","Design capacity BOD5","Urban and other wastewater treatment plants - secondary treatment","Tonnes of O2 per day",":",""
"2000","Morava / March (CZ)","Design capacity BOD5","Urban and other wastewater treatment plants - tertiary treatment","Tonnes of O2 per day",":",""
"2000","Morava / March (CZ)","Incoming load BOD5","Urban and other wastewater treatment plants - primary treatment","Tonnes of O2 per day",":",""
"2000","Morava / March (CZ)","Incoming load BOD5","Urban and other wastewater treatment plants - secondary treatment","Tonnes of O2 per day",":",""
"2000","Morava / March (CZ)","Incoming load BOD5","Urban and other wastewater treatment plants - tertiary treatment","Tonnes of O2 per day",":",""
"2000","Morava / March (CZ)","Effluent BOD5","Urban and other wastewater treatment plants - primary treatment","Tonnes of O2 per day",":",""
"2000","Morava / March (CZ)","Effluent BOD5","Urban and other wastewater treatment plants - secondary treatment","Tonnes of O2 per day",":",""
"2000","Morava / March (CZ)","Effluent BOD5","Urban and other wastewater treatment plants - tertiary treatment","Tonnes of O2 per day",":",""
"2000","Labe / Elbe - RBD (CZ)","Design capacity BOD5","Urban and other wastewater treatment plants - primary treatment","Tonnes of O2 per day",":",""
"2000","Labe / Elbe - RBD (CZ)","Design capacity BOD5","Urban and other wastewater treatment plants - secondary treatment","Tonnes of O2 per day",":",""
"2000","Labe / Elbe - RBD (CZ)","Design capacity BOD5","Urban and other wastewater treatment plants - tertiary treatment","Tonnes of O2 per day",":",""
"2000","Labe / Elbe - RBD (CZ)","Incoming load BOD5","Urban and other wastewater treatment plants - primary treatment","Tonnes of O2 per day",":",""
"2000","Labe / Elbe - RBD (CZ)","Incoming load BOD5","Urban and other wastewater treatment plants - secondary treatment","Tonnes of O2 per day",":",""
"2000","Labe / Elbe - RBD (CZ)","Incoming load BOD5","Urban and other wastewater treatment plants - tertiary treatment","Tonnes of O2 per day",":",""
"2000","Labe / Elbe - RBD (CZ)","Effluent BOD5","Urban and other wastewater treatment plants - primary treatment","Tonnes of O2 per day",":",""
"2000","Labe / Elbe - RBD (CZ)","Effluent BOD5","Urban and other wastewater treatment plants - secondary treatment","Tonnes of O2 per day",":",""
"2000","Labe / Elbe - RBD (CZ)","Effluent BOD5","Urban and other wastewater treatment plants - tertiary treatment","Tonnes of O2 per day",":",""
