"TIME","RBD","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2000","North Adriatic - RBD","Million cubic metres","Precipitation",":",""
"2000","Slovakia","Million cubic metres","Precipitation","37,500",""
"2000","Dunajec and Poprad (Vistula) - RBD (SK)","Million cubic metres","Precipitation",":",""
"2000","Danube - RBD (SK)","Million cubic metres","Precipitation",":",""
"2000","Finland","Million cubic metres","Precipitation","240,000",""
"2000","Sweden","Million cubic metres","Precipitation","453,116",""
"2000","Bothnian Bay - RBD (SE)","Million cubic metres","Precipitation","140,763",""
"2000","Bothnian Sea - RBD (SE)","Million cubic metres","Precipitation","146,872",""
"2000","North Baltic Sea - RBD","Million cubic metres","Precipitation","37,191",""
"2000","South Baltic Sea - RBD","Million cubic metres","Precipitation","46,842",""
"2000","Skagerrak and Kattegat - RBD (SE)","Million cubic metres","Precipitation","81,448",""
"2000","Trondelagsfylkene (Bothnian Sea) - RBD (SE)","Million cubic metres","Precipitation",":",""
"2000","Nordland (Bothnian Bay) - RBD (SE)","Million cubic metres","Precipitation",":",""
"2000","Troms (Bothnian Bay) - RBD (SE)","Million cubic metres","Precipitation",":",""
"2000","Glomma (Skagerrak and Kattegat) - RBD (SE)","Million cubic metres","Precipitation",":",""
"2000","United Kingdom","Million cubic metres","Precipitation","338,989.5",""
"2000","Iceland","Million cubic metres","Precipitation",":",""
"2000","Norway","Million cubic metres","Precipitation",":",""
"2000","Glomma, Møre and Romsdal - RBD","Million cubic metres","Precipitation",":",""
"2000","Troendelag - RBD (NO)","Million cubic metres","Precipitation",":",""
"2000","Nordland - RBD (NO)","Million cubic metres","Precipitation",":",""
"2000","Troms - RBD (NO)","Million cubic metres","Precipitation",":",""
"2000","Finnmark - RBD","Million cubic metres","Precipitation",":",""
"2000","Glomma - RBD (NO)","Million cubic metres","Precipitation",":",""
"2000","West Bay - RBD","Million cubic metres","Precipitation",":",""
"2000","Agder - RBD","Million cubic metres","Precipitation",":",""
"2000","Rogaland - RBD","Million cubic metres","Precipitation",":",""
"2000","Hordaland - RBD","Million cubic metres","Precipitation",":",""
"2000","Sogn and Fjordane - RBD","Million cubic metres","Precipitation",":",""
"2000","Bothnian Bay - RBD (NO)","Million cubic metres","Precipitation",":",""
"2000","Torne (Torniojoki) - RBD (NO)","Million cubic metres","Precipitation",":",""
"2000","Bothnian Sea - RBD (NO)","Million cubic metres","Precipitation",":",""
"2000","Skagerrak and Kattegat - RBD (NO)","Million cubic metres","Precipitation",":",""
"2000","Kemijoki - RBD (NO)","Million cubic metres","Precipitation",":",""
"2000","Tornionjoki - RBD (FI)","Million cubic metres","Precipitation",":",""
"2000","Switzerland","Million cubic metres","Precipitation","62,203",""
"2000","Rhine - RBD (CH)","Million cubic metres","Precipitation","36,356.15",""
"2000","Rhône - RBD (CH)","Million cubic metres","Precipitation","7,155",""
"2000","Po - RBD (CH)","Million cubic metres","Precipitation","4,123",""
"2000","Danube - RBD (CH)","Million cubic metres","Precipitation","2,517",""
"2000","Former Yugoslav Republic of Macedonia, the","Million cubic metres","Precipitation","13,650",""
"2000","Albania","Million cubic metres","Precipitation",":",""
"2000","Serbia","Million cubic metres","Precipitation","30,760",""
"2000","Turkey","Million cubic metres","Precipitation","462,740",""
"2000","Bosnia and Herzegovina","Million cubic metres","Precipitation","44,019",""
"2000","Kosovo (under United Nations Security Council Resolution 1244/99)","Million cubic metres","Precipitation",":",""
"2001","Belgium","Million cubic metres","Precipitation",":",""
"2001","Rhine - RBD (BE-Walloon region)","Million cubic metres","Precipitation","1,046.68",""
"2001","Scheldt/Escaut - RBD (BE-Brussels)","Million cubic metres","Precipitation","176.96",""
"2001","Escaut/Schelde - RBD (BE-Walloon region)","Million cubic metres","Precipitation",":",""
"2001","Schelde/Escaut - RBD (BE-Flemish region)","Million cubic metres","Precipitation",":",""
"2001","Meuse/Maas - RBD (BE-Walloon region)","Million cubic metres","Precipitation","15,182.46",""
"2001","Maas/Meuse - RBD (BE-Flemish region)","Million cubic metres","Precipitation",":",""
"2001","Seine - RBD (BE-Walloon region)","Million cubic metres","Precipitation","102.66",""
"2001","Bulgaria","Million cubic metres","Precipitation",":",""
"2001","Danube - RBD (BG)","Million cubic metres","Precipitation",":",""
"2001","Black Sea - RBD","Million cubic metres","Precipitation",":",""
"2001","East Aegean - RBD (BG)","Million cubic metres","Precipitation",":",""
"2001","West Aegean - RBD (BG)","Million cubic metres","Precipitation",":",""
"2001","Czech Republic","Million cubic metres","Precipitation",":",""
"2001","Danube - RBD (CZ)","Million cubic metres","Precipitation",":",""
"2001","Labe / Elbe - RBD (CZ)","Million cubic metres","Precipitation",":",""
"2001","Odra / Oder - RBD (CZ)","Million cubic metres","Precipitation",":",""
"2001","Germany (until 1990 former territory of the FRG)","Million cubic metres","Precipitation",":",""
"2001","Danube - RBD (DE)","Million cubic metres","Precipitation",":",""
"2001","Rhine - RBD (DE)","Million cubic metres","Precipitation",":",""
"2001","Ems - RBD (DE)","Million cubic metres","Precipitation",":",""
"2001","Weser - RBD","Million cubic metres","Precipitation",":",""
"2001","Elbe / Labe - RBD (DE)","Million cubic metres","Precipitation",":",""
"2001","Oder / Odra - RBD (DE)","Million cubic metres","Precipitation",":",""
"2001","Maas / Meuse - RBD (DE)","Million cubic metres","Precipitation",":",""
"2001","Eider - RBD","Million cubic metres","Precipitation",":",""
"2001","Schlei-Trave - RBD","Million cubic metres","Precipitation",":",""
"2001","Warnow-Peene - RBD","Million cubic metres","Precipitation",":",""
"2001","Ireland","Million cubic metres","Precipitation","70,248.15",""
"2001","Western Peloponnese - RBD","Million cubic metres","Precipitation",":",""
"2001","Northern Peloponnese - RBD","Million cubic metres","Precipitation",":",""
"2001","Eastern Peloponnese - RBD","Million cubic metres","Precipitation",":",""
"2001","Spain","Million cubic metres","Precipitation","301,785.9",""
"2001","Miño-Sil - RBD (ES)","Million cubic metres","Precipitation","15,642.92",""
"2001","Galician Coast - RBD","Million cubic metres","Precipitation","15,182.92",""
"2001","Western Cantabrian RBD","Million cubic metres","Precipitation","17,920.94",""
"2001","Eastern Cantabrian RBD","Million cubic metres","Precipitation","6,351.46",""
"2001","Duero - RBD (ES)","Million cubic metres","Precipitation","38,597.07",""
"2001","Tagus - RBD (ES)","Million cubic metres","Precipitation","30,184.31",""
"2001","Guadiana - RBD (ES)","Million cubic metres","Precipitation","27,253.79",""
"2001","Guadalquivir - RBD","Million cubic metres","Precipitation","31,044.32",""
"2001","Andalusia Mediterranean Basins - RBD","Million cubic metres","Precipitation","6,909.57",""
"2001","Guadalete and Barbate - RBD","Million cubic metres","Precipitation","3,451.32",""
"2001","Tinto, Odiel and Piedras - RBD","Million cubic metres","Precipitation","3,382.66",""
"2001","Segura - RBD","Million cubic metres","Precipitation","8,729.57",""
"2001","Júcar - RBD","Million cubic metres","Precipitation","26,949.66",""
"2001","Ebro - RBD","Million cubic metres","Precipitation","48,299.58",""
"2001","Catalonia - RBD","Million cubic metres","Precipitation","12,941.59",""
"2001","Balearic Islands - RBD","Million cubic metres","Precipitation","4,373.23",""
"2001","Gran Canaria - RBD","Million cubic metres","Precipitation","503.91",""
"2001","Fuerteventura - RBD","Million cubic metres","Precipitation","227.84",""
"2001","Lanzarote - RBD","Million cubic metres","Precipitation","101.33",""
"2001","Tenerife - RBD","Million cubic metres","Precipitation","943.16",""
"2001","La Palma - RBD","Million cubic metres","Precipitation","631.88",""
"2001","La Gomera - RBD","Million cubic metres","Precipitation","165.6",""
"2001","El Hierro - RBD","Million cubic metres","Precipitation","143.66",""
"2001","Ceuta - RBD","Million cubic metres","Precipitation",":",""
"2001","Melilla - RBD","Million cubic metres","Precipitation",":",""
"2001","France","Million cubic metres","Precipitation",":",""
"2001","Escaut / Schelde - RBD (FR)","Million cubic metres","Precipitation",":",""
